"site","size","abundance","richness"
"m",3.06,76,3
"n",7.21,25,7
"o",8.37,47,17
"p",0.18,60,7
"q",2.14,39,14
"r",9.33,79,15
"s",6.04,66,19
"t",0.71,93,12
"u",3.9,28,6
"v",9.53,29,15
"w",7.25,84,18
"x",3.62,77,3
"y",9.57,52,3
"z",0.21,22,17
"a",3.55,95,7
"b",9.28,21,18
"c",6.39,46,4
"d",8,22,16
"e",0.89,91,20
"f",7.48,18,19
"g",2.78,95,15
"h",0.61,48,5
"i",0.19,96,10
"j",2.53,64,17
"k",6.44,56,12
"l",7.76,83,15
"m",0.59,27,8
"n",3.55,58,17
"o",6.69,38,10
"p",6.58,73,14
"q",6.48,17,4
"r",7.8,31,6
"s",1.46,18,16
"t",6.23,46,8
"u",5.53,24,5
"v",8.54,81,13
"w",1.78,32,8
"x",2.19,85,5
"y",1.7,76,4
"z",1.87,93,4
"a",5.48,14,12
"b",2.7,39,7
"c",5.68,20,18
"d",9.29,91,15
"e",8.52,61,17
"f",3.14,11,7
"g",7.02,28,7
"h",5.38,96,2
"i",7.84,76,12
"j",9.77,47,10
"k",8.91,95,7
"l",0.26,26,17
"m",4.35,48,16
"n",0.51,23,7
"o",1.88,48,8
"p",9.06,70,13
"q",5.36,97,12
"r",6.54,50,9
"s",8.11,20,3
"t",4.58,90,7
"u",4.93,29,11
"v",7.99,71,7
"w",9.32,46,15
"x",5.95,39,14
"y",8.16,75,13
"z",8.42,28,7
"a",3.75,57,19
"b",8.24,68,5
"c",1.52,75,3
"d",2.4,78,16
"e",1.28,17,5
"f",9.72,23,5
"g",8.54,82,16
"h",1.83,100,15
"i",0.28,33,12
"j",6.13,70,8
"k",9.39,79,19
"l",8.98,72,4
"m",8.76,54,17
"n",2.2,68,20
"o",0.3,30,14
"p",7.86,67,16
"q",0.81,48,7
"r",7.08,97,15
"s",0.54,55,19
"t",9.64,68,7
"u",4.27,99,10
"v",7.86,11,7
"w",1.87,50,4
"x",5.39,43,12
"y",3.82,26,19
"z",4.54,90,2
"a",9.01,53,19
"b",0.29,27,7
"c",9.36,91,5
"d",3.37,84,20
"e",1.05,11,6
"f",9.48,56,4
"g",5.39,92,6
"h",5.64,89,6
"i",5,47,20
"j",5.04,96,4
"k",8.94,64,18
"l",0.39,86,7
"m",0.74,94,8
"n",5.41,97,13
"o",0.51,96,12
"p",0.13,32,7
"q",0.71,26,19
"r",3.34,16,4
"s",1.28,88,12
"t",7.36,58,16
"u",6.01,15,3
"v",4.87,50,11
"w",9.71,97,13
"x",3.32,43,6
"y",3.59,83,13
"z",2.78,80,5
